loan_amnt,term,int_rate,home_ownership,annual_inc,verification_status,repay_fail
5000.0,36 months,8.7,RENT,48000.0,Not Verified,0
2000.0,36 months,8.49,RENT,22800.0,Source Verified,0
10000.0,36 months,15.27,RENT,64000.0,Verified,0
2400.0,36 months,10.46,MORTGAGE,27000.0,Not Verified,0
10000.0,36 months,7.29,RENT,99000.0,Not Verified,0
14825.0,36 months,12.69,MORTGAGE,75000.0,Verified,0
4000.0,36 months,10.99,MORTGAGE,40000.0,Not Verified,0
29550.0,36 months,8.9,RENT,148616.0,Verified,0
1375.0,36 months,6.91,RENT,37500.0,Not Verified,0
4400.0,36 months,7.9,MORTGAGE,95000.0,Not Verified,0
15000.0,36 months,15.95,MORTGAGE,54000.0,Verified,1
6000.0,36 months,7.29,RENT,65004.0,Source Verified,0
25000.0,60 months,13.72,OWN,100000.0,Verified,1
3500.0,36 months,14.84,MORTGAGE,96000.0,Verified,1
2525.0,36 months,13.12,MORTGAGE,40000.0,Not Verified,0
25000.0,36 months,13.75,RENT,75000.0,Not Verified,1
14000.0,60 months,20.25,RENT,42744.0,Not Verified,1
6500.0,36 months,11.03,RENT,55000.0,Not Verified,0
2800.0,60 months,10.74,MORTGAGE,61200.0,Source Verified,0
21600.0,36 months,12.99,MORTGAGE,280000.0,Verified,0
2200.0,36 months,13.23,RENT,12000.0,Source Verified,0
3600.0,36 months,12.69,MORTGAGE,60000.0,Not Verified,1
25000.0,36 months,12.69,RENT,92000.0,Verified,0
10000.0,36 months,13.79,RENT,40000.0,Not Verified,1
20050.0,60 months,11.49,MORTGAGE,63000.0,Verified,0
18000.0,36 months,12.18,RENT,101500.0,Not Verified,0
11800.0,36 months,13.99,RENT,94000.0,Verified,0
5500.0,36 months,6.92,RENT,45000.0,Not Verified,0
4000.0,36 months,7.51,MORTGAGE,80000.0,Source Verified,0
4800.0,36 months,13.35,RENT,26085.36,Not Verified,0
3000.0,36 months,11.36,RENT,108000.0,Verified,0
5200.0,60 months,15.23,MORTGAGE,72000.0,Verified,1
21000.0,60 months,15.23,MORTGAGE,90000.0,Verified,0
8000.0,36 months,14.26,RENT,88500.0,Not Verified,1
1800.0,36 months,10.71,MORTGAGE,123000.0,Not Verified,0
6000.0,36 months,9.32,MORTGAGE,52000.0,Source Verified,0
5000.0,36 months,7.88,RENT,45000.0,Source Verified,0
12000.0,36 months,7.88,RENT,110000.0,Not Verified,0
5000.0,60 months,18.3,RENT,72000.0,Source Verified,0
25000.0,36 months,14.42,OWN,300000.0,Verified,0
20000.0,36 months,15.65,RENT,60000.0,Not Verified,0
1500.0,36 months,10.74,RENT,80000.0,Source Verified,0
15250.0,36 months,12.53,MORTGAGE,52000.0,Verified,1
20000.0,36 months,13.72,MORTGAGE,79000.0,Verified,0
10000.0,36 months,8.59,OWN,150000.0,Not Verified,0
4000.0,36 months,5.42,MORTGAGE,90000.0,Not Verified,0
13000.0,36 months,8.9,MORTGAGE,60000.0,Source Verified,0
14400.0,36 months,10.37,RENT,81380.0,Verified,0
25000.0,36 months,10.75,MORTGAGE,100000.0,Verified,0
3600.0,36 months,16.49,RENT,24216.0,Not Verified,0
20000.0,36 months,17.14,RENT,75000.0,Verified,0
10000.0,36 months,12.42,RENT,42000.0,Source Verified,0
12000.0,36 months,7.51,RENT,83000.0,Source Verified,1
5000.0,60 months,16.45,RENT,32000.0,Source Verified,0
3800.0,36 months,6.03,OWN,90000.0,Verified,0
1500.0,36 months,13.48,OWN,48000.0,Not Verified,1
12000.0,36 months,8.94,MORTGAGE,35088.0,Not Verified,0
5000.0,60 months,7.29,MORTGAGE,61200.0,Not Verified,0
26000.0,60 months,12.69,RENT,49000.0,Verified,1
16250.0,60 months,11.49,RENT,63600.0,Verified,0
25000.0,60 months,12.98,MORTGAGE,85000.0,Verified,0
1200.0,36 months,10.28,RENT,4000.0,Not Verified,0
35000.0,60 months,18.39,MORTGAGE,53000.0,Verified,1
11400.0,36 months,13.79,MORTGAGE,63000.0,Verified,0
13000.0,36 months,7.88,MORTGAGE,37000.0,Verified,0
12600.0,60 months,10.65,MORTGAGE,55172.0,Not Verified,0
12800.0,36 months,12.42,RENT,38000.0,Not Verified,1
10000.0,36 months,13.22,MORTGAGE,156000.0,Not Verified,0
7000.0,60 months,15.57,MORTGAGE,50000.0,Not Verified,0
20000.0,60 months,11.99,MORTGAGE,39000.0,Verified,0
5125.0,36 months,10.71,MORTGAGE,65000.0,Not Verified,0
3500.0,60 months,17.99,MORTGAGE,116004.0,Not Verified,1
12000.0,36 months,16.95,MORTGAGE,90000.0,Verified,0
20000.0,60 months,18.3,MORTGAGE,74276.8,Not Verified,0
5600.0,36 months,7.51,RENT,43000.0,Source Verified,0
25000.0,60 months,18.3,MORTGAGE,137496.0,Source Verified,0
10000.0,60 months,13.23,RENT,42840.0,Source Verified,0
14400.0,36 months,7.66,MORTGAGE,90000.0,Source Verified,0
12000.0,36 months,14.59,MORTGAGE,124000.0,Not Verified,0
6500.0,36 months,7.74,RENT,18000.0,Not Verified,0
19000.0,36 months,11.99,MORTGAGE,105000.0,Not Verified,0
15000.0,36 months,11.89,RENT,70000.0,Verified,0
2000.0,36 months,7.37,OWN,98000.0,Not Verified,0
3500.0,36 months,14.27,RENT,34000.0,Not Verified,0
3000.0,36 months,13.35,MORTGAGE,112500.0,Source Verified,0
5000.0,36 months,11.86,RENT,67596.0,Not Verified,0
22000.0,60 months,17.27,RENT,84000.0,Verified,0
35000.0,60 months,21.36,MORTGAGE,254616.0,Source Verified,1
15000.0,36 months,16.49,MORTGAGE,91980.0,Not Verified,0
9050.0,36 months,5.42,MORTGAGE,108000.0,Not Verified,0
5000.0,36 months,9.76,MORTGAGE,38000.0,Not Verified,0
15000.0,60 months,14.46,RENT,109000.0,Verified,0
7000.0,36 months,13.49,RENT,83000.0,Verified,0
18000.0,36 months,13.48,RENT,58000.0,Verified,0
25000.0,36 months,13.06,MORTGAGE,168000.0,Verified,0
12000.0,60 months,12.69,OWN,60000.0,Source Verified,0
5000.0,60 months,11.12,MORTGAGE,36000.0,Source Verified,0
20000.0,36 months,14.84,MORTGAGE,170000.0,Verified,0
4800.0,36 months,6.39,RENT,56048.0,Not Verified,0
4000.0,36 months,14.17,RENT,30000.0,Not Verified,0
8400.0,36 months,9.63,MORTGAGE,28800.0,Not Verified,0
24000.0,36 months,16.45,RENT,60000.0,Not Verified,0
14500.0,36 months,13.98,RENT,45600.0,Not Verified,0
3500.0,36 months,7.29,RENT,74400.0,Not Verified,0
5000.0,36 months,13.99,RENT,65000.0,Verified,0
3600.0,36 months,8.94,RENT,25000.0,Not Verified,0
2800.0,36 months,14.22,RENT,21168.0,Not Verified,0
5000.0,36 months,6.03,RENT,100000.0,Not Verified,0
6000.0,36 months,6.17,MORTGAGE,81000.0,Verified,0
1200.0,36 months,10.99,OWN,26000.0,Not Verified,0
6000.0,36 months,5.42,RENT,55000.0,Not Verified,0
6000.0,36 months,11.97,RENT,58800.0,Not Verified,1
9600.0,60 months,10.99,MORTGAGE,92000.0,Verified,0
3000.0,36 months,13.61,RENT,65004.0,Not Verified,0
12000.0,60 months,14.79,RENT,65000.0,Source Verified,0
11000.0,36 months,10.59,MORTGAGE,42000.0,Not Verified,1
9000.0,36 months,10.99,RENT,51000.0,Verified,0
2400.0,36 months,10.59,OWN,19200.0,Source Verified,0
7200.0,36 months,10.59,MORTGAGE,43000.0,Not Verified,0
12800.0,36 months,13.49,OWN,80000.0,Not Verified,0
7500.0,60 months,11.12,MORTGAGE,57000.0,Not Verified,1
8000.0,36 months,6.99,MORTGAGE,45000.0,Not Verified,0
12000.0,60 months,15.7,MORTGAGE,50376.0,Not Verified,0
10000.0,36 months,12.73,MORTGAGE,120000.0,Verified,0
4000.0,36 months,10.08,RENT,32400.0,Not Verified,0
6000.0,36 months,7.51,RENT,30000.0,Verified,0
15000.0,60 months,18.79,MORTGAGE,98500.0,Verified,0
11200.0,60 months,14.17,OWN,25800.0,Verified,0
12000.0,36 months,11.11,MORTGAGE,125000.0,Verified,0
8750.0,36 months,12.72,MORTGAGE,86610.0,Verified,0
6000.0,36 months,5.79,MORTGAGE,154000.0,Verified,0
25000.0,60 months,13.23,RENT,68500.0,Source Verified,0
14400.0,36 months,13.92,MORTGAGE,75000.0,Not Verified,0
12000.0,36 months,14.38,MORTGAGE,100000.0,Not Verified,0
3600.0,60 months,17.93,RENT,15000.0,Verified,1
15000.0,60 months,17.14,OWN,41676.0,Verified,0
8000.0,60 months,14.46,RENT,49000.0,Verified,0
8000.0,36 months,11.99,MORTGAGE,82000.0,Verified,0
20000.0,36 months,6.54,MORTGAGE,109000.0,Verified,0
6000.0,36 months,6.62,MORTGAGE,82531.8,Not Verified,0
10000.0,36 months,5.42,MORTGAGE,150000.0,Verified,0
25000.0,60 months,17.56,MORTGAGE,65004.0,Source Verified,0
8000.0,36 months,11.71,RENT,115000.0,Verified,0
5400.0,36 months,7.88,MORTGAGE,78000.0,Not Verified,0
10000.0,36 months,7.14,MORTGAGE,47091.0,Not Verified,0
10000.0,60 months,15.95,MORTGAGE,117000.0,Source Verified,0
12000.0,36 months,5.79,RENT,80000.0,Verified,0
3000.0,36 months,11.86,RENT,35500.0,Not Verified,0
10000.0,36 months,7.49,OWN,141000.0,Not Verified,0
8000.0,36 months,10.59,MORTGAGE,50000.0,Not Verified,0
18000.0,36 months,10.59,RENT,80000.0,Not Verified,0
12000.0,36 months,13.16,MORTGAGE,78996.0,Not Verified,0
1000.0,36 months,9.99,MORTGAGE,35138.4,Source Verified,0
25000.0,36 months,16.32,OWN,95000.0,Not Verified,0
8675.0,60 months,16.32,MORTGAGE,40000.0,Verified,0
12000.0,36 months,17.88,MORTGAGE,57600.0,Verified,1
6000.0,36 months,7.88,RENT,90000.0,Not Verified,0
8000.0,36 months,11.36,RENT,58000.0,Not Verified,0
12000.0,36 months,7.88,RENT,55500.0,Verified,0
1500.0,36 months,6.03,RENT,50400.0,Source Verified,0
16800.0,60 months,15.57,MORTGAGE,123531.24,Not Verified,1
22000.0,36 months,21.64,RENT,125004.0,Verified,0
12000.0,36 months,6.03,MORTGAGE,99000.0,Source Verified,0
3500.0,36 months,12.99,MORTGAGE,60000.0,Verified,0
1875.0,36 months,13.49,RENT,14400.0,Source Verified,0
12000.0,36 months,10.37,RENT,63000.0,Source Verified,0
15000.0,36 months,13.11,MORTGAGE,233000.0,Not Verified,0
10750.0,60 months,15.23,RENT,36960.0,Source Verified,0
1000.0,36 months,13.49,RENT,18000.0,Verified,1
2000.0,60 months,10.99,RENT,16000.0,Not Verified,0
10000.0,36 months,8.94,MORTGAGE,88000.0,Not Verified,0
12000.0,36 months,8.49,MORTGAGE,97000.0,Verified,0
25000.0,36 months,11.83,OWN,250000.0,Verified,0
24800.0,36 months,12.53,MORTGAGE,87000.0,Not Verified,0
7200.0,60 months,17.27,RENT,103000.0,Source Verified,0
8000.0,36 months,10.74,MORTGAGE,40000.0,Source Verified,0
4500.0,36 months,6.62,RENT,70000.0,Not Verified,0
2200.0,36 months,7.49,MORTGAGE,45000.0,Not Verified,1
10000.0,36 months,10.59,MORTGAGE,63000.0,Not Verified,0
7500.0,60 months,14.79,RENT,25000.0,Verified,1
17000.0,36 months,12.87,RENT,41400.0,Not Verified,0
18000.0,60 months,11.49,RENT,43264.0,Source Verified,0
15000.0,60 months,11.11,MORTGAGE,44300.0,Source Verified,0
15000.0,36 months,13.57,MORTGAGE,156000.0,Not Verified,0
9500.0,36 months,11.99,MORTGAGE,35004.0,Not Verified,0
18000.0,60 months,12.99,MORTGAGE,60000.0,Not Verified,1
9600.0,36 months,11.03,MORTGAGE,62892.0,Not Verified,0
13050.0,36 months,11.48,RENT,63000.0,Verified,0
6000.0,60 months,13.23,OWN,67000.0,Source Verified,0
16000.0,60 months,17.99,RENT,75000.0,Source Verified,0
8400.0,60 months,17.19,OWN,48000.0,Not Verified,1
17000.0,60 months,17.14,RENT,62000.0,Source Verified,1
3400.0,36 months,6.92,RENT,40000.0,Not Verified,0
4025.0,36 months,7.49,MORTGAGE,106000.0,Not Verified,0
30000.0,36 months,9.91,MORTGAGE,110000.0,Verified,0
4200.0,36 months,7.49,OWN,21600.0,Source Verified,0
12000.0,36 months,6.17,RENT,38001.6,Source Verified,0
23500.0,60 months,16.82,MORTGAGE,112000.0,Verified,0
20000.0,36 months,14.27,MORTGAGE,70000.0,Verified,0
15000.0,36 months,12.84,MORTGAGE,70400.0,Not Verified,0
12000.0,60 months,15.58,RENT,55000.0,Verified,0
17400.0,36 months,16.07,MORTGAGE,100000.0,Not Verified,0
10000.0,36 months,6.03,MORTGAGE,80000.0,Not Verified,0
20000.0,36 months,12.68,RENT,62400.0,Verified,0
15000.0,36 months,11.58,MORTGAGE,69000.0,Not Verified,0
19750.0,36 months,11.14,RENT,30000.0,Not Verified,0
11200.0,60 months,16.89,MORTGAGE,69996.0,Not Verified,0
25000.0,36 months,16.07,MORTGAGE,182004.0,Verified,0
5000.0,36 months,8.59,MORTGAGE,59520.0,Not Verified,0
25000.0,36 months,8.49,RENT,150000.0,Source Verified,0
14000.0,60 months,17.27,RENT,52000.0,Not Verified,1
10000.0,36 months,7.66,OWN,64000.0,Verified,0
13200.0,60 months,10.99,RENT,42000.0,Source Verified,0
3200.0,36 months,9.63,RENT,38000.0,Verified,0
10000.0,36 months,9.91,RENT,107000.0,Verified,0
6000.0,60 months,12.68,MORTGAGE,43000.0,Not Verified,0
26000.0,36 months,10.99,RENT,52000.0,Verified,0
3000.0,36 months,19.03,RENT,24000.0,Source Verified,1
3700.0,36 months,9.32,OWN,15000.0,Not Verified,0
4000.0,36 months,13.49,OWN,107000.0,Not Verified,0
2075.0,36 months,17.58,RENT,20000.0,Not Verified,1
15000.0,36 months,13.92,MORTGAGE,102058.0,Verified,0
2400.0,36 months,12.49,MORTGAGE,41380.0,Not Verified,1
12000.0,60 months,17.27,RENT,36048.0,Not Verified,0
6800.0,36 months,6.03,MORTGAGE,45000.0,Source Verified,0
15000.0,36 months,13.48,RENT,28896.0,Not Verified,0
5000.0,36 months,8.88,RENT,72467.0,Source Verified,0
15850.0,60 months,18.64,MORTGAGE,43000.0,Verified,0
25000.0,60 months,10.36,RENT,108000.0,Verified,0
7000.0,36 months,14.91,RENT,32000.0,Not Verified,0
3000.0,36 months,10.65,RENT,40000.0,Not Verified,1
5000.0,36 months,13.92,MORTGAGE,118000.0,Not Verified,0
10000.0,60 months,12.98,RENT,68640.0,Not Verified,0
16000.0,60 months,14.17,RENT,50000.0,Source Verified,0
10000.0,36 months,13.57,RENT,46585.0,Source Verified,0
18000.0,36 months,7.51,MORTGAGE,115000.0,Verified,0
6000.0,60 months,10.74,MORTGAGE,44000.0,Source Verified,0
12900.0,36 months,12.99,MORTGAGE,180000.0,Not Verified,0
12000.0,36 months,18.61,MORTGAGE,110000.0,Not Verified,0
6000.0,60 months,11.99,OWN,25200.0,Source Verified,0
2200.0,36 months,11.72,RENT,39270.0,Not Verified,0
17500.0,36 months,7.9,MORTGAGE,40000.0,Source Verified,0
35000.0,60 months,11.71,MORTGAGE,82000.0,Verified,1
5000.0,36 months,8.9,RENT,76000.0,Source Verified,0
20000.0,36 months,13.92,MORTGAGE,110000.0,Verified,0
1900.0,36 months,7.51,MORTGAGE,72000.0,Not Verified,0
10000.0,60 months,13.98,RENT,36320.0,Source Verified,0
25000.0,60 months,13.98,RENT,90000.0,Source Verified,1
21725.0,60 months,12.99,MORTGAGE,76000.0,Verified,0
13000.0,36 months,10.62,RENT,52809.12,Not Verified,0
16800.0,36 months,7.51,OWN,69500.0,Verified,0
13000.0,36 months,14.18,RENT,36000.0,Not Verified,1
12000.0,36 months,6.54,MORTGAGE,60000.0,Not Verified,0
25000.0,36 months,17.93,RENT,90000.0,Verified,0
15000.0,36 months,16.0,RENT,96000.0,Not Verified,0
7000.0,36 months,5.79,MORTGAGE,90000.0,Source Verified,0
6000.0,36 months,11.83,MORTGAGE,59000.0,Not Verified,0
9800.0,36 months,8.59,RENT,60000.0,Not Verified,0
10000.0,36 months,11.83,RENT,56004.0,Not Verified,0
24000.0,36 months,8.9,MORTGAGE,85000.0,Source Verified,0
2500.0,36 months,16.82,MORTGAGE,20004.0,Verified,0
23000.0,60 months,18.39,RENT,52400.0,Verified,0
20000.0,36 months,10.62,MORTGAGE,29000.0,Not Verified,0
10000.0,36 months,12.61,MORTGAGE,132000.0,Not Verified,1
28000.0,60 months,10.65,RENT,80000.0,Verified,0
6300.0,36 months,11.11,MORTGAGE,27500.0,Not Verified,0
9600.0,60 months,16.4,RENT,37000.0,Source Verified,0
8000.0,60 months,17.14,RENT,65000.0,Source Verified,0
4200.0,60 months,15.95,RENT,36000.0,Not Verified,1
4725.0,60 months,12.42,OWN,37500.0,Source Verified,0
8000.0,36 months,13.61,RENT,19200.0,Source Verified,0
4600.0,36 months,8.59,RENT,51996.0,Not Verified,0
26000.0,60 months,19.03,RENT,72000.0,Verified,1
9600.0,60 months,15.95,MORTGAGE,37000.0,Not Verified,0
15000.0,36 months,11.72,MORTGAGE,66000.0,Not Verified,0
3500.0,36 months,13.49,RENT,65000.0,Verified,0
25000.0,60 months,11.11,MORTGAGE,208000.0,Source Verified,0
20000.0,36 months,9.25,RENT,92407.0,Verified,0
16000.0,60 months,11.71,MORTGAGE,84855.0,Verified,0
21750.0,60 months,12.42,OWN,43500.0,Verified,1
24000.0,60 months,14.65,MORTGAGE,100000.0,Verified,1
21000.0,36 months,12.69,MORTGAGE,135000.0,Verified,0
12000.0,36 months,7.88,MORTGAGE,160000.0,Verified,0
2400.0,36 months,10.0,RENT,57110.0,Not Verified,0
20000.0,36 months,11.99,MORTGAGE,57000.0,Verified,0
4200.0,60 months,11.86,RENT,24000.0,Not Verified,0
12000.0,36 months,14.26,RENT,42000.0,Not Verified,0
16000.0,60 months,10.99,MORTGAGE,65000.0,Verified,0
2500.0,36 months,9.25,MORTGAGE,35000.0,Not Verified,0
8000.0,36 months,5.79,RENT,54996.0,Source Verified,0
21000.0,36 months,11.71,MORTGAGE,108000.0,Verified,0
25000.0,36 months,10.36,RENT,75000.0,Source Verified,0
4375.0,36 months,5.42,OWN,17760.0,Source Verified,0
10000.0,36 months,12.87,RENT,62400.0,Not Verified,0
16875.0,36 months,6.54,RENT,72000.0,Verified,0
11000.0,36 months,15.62,RENT,58000.0,Source Verified,0
16000.0,60 months,16.32,MORTGAGE,140004.0,Source Verified,0
13000.0,36 months,11.58,RENT,58000.0,Verified,0
8000.0,36 months,13.35,MORTGAGE,34000.0,Verified,0
6000.0,36 months,7.9,RENT,25200.0,Not Verified,0
12000.0,36 months,14.22,RENT,48000.0,Verified,1
3200.0,36 months,10.25,RENT,85000.0,Not Verified,0
16000.0,36 months,14.59,RENT,65000.0,Not Verified,0
5000.0,36 months,6.03,MORTGAGE,65000.0,Not Verified,0
7000.0,36 months,14.96,OWN,150000.0,Not Verified,0
25000.0,36 months,16.45,MORTGAGE,170004.0,Verified,0
15000.0,36 months,7.49,MORTGAGE,105804.0,Source Verified,0
7500.0,36 months,14.84,RENT,30000.0,Not Verified,0
5000.0,36 months,15.96,RENT,90000.0,Source Verified,0
9000.0,36 months,7.49,MORTGAGE,96000.0,Verified,0
1925.0,36 months,10.59,MORTGAGE,54996.0,Source Verified,0
8000.0,36 months,13.49,OWN,30000.0,Verified,0
26000.0,60 months,15.99,MORTGAGE,83100.0,Verified,0
8000.0,60 months,10.0,OWN,16800.0,Verified,0
18000.0,36 months,12.68,MORTGAGE,74000.0,Verified,0
15400.0,60 months,17.51,MORTGAGE,76092.0,Verified,0
3000.0,60 months,13.98,MORTGAGE,39600.0,Verified,0
16000.0,36 months,14.17,MORTGAGE,300000.0,Source Verified,0
3000.0,36 months,9.91,RENT,45600.0,Not Verified,0
20000.0,60 months,14.27,OWN,57000.0,Verified,0
1500.0,36 months,7.88,MORTGAGE,65004.0,Not Verified,0
1500.0,36 months,11.49,RENT,80000.0,Not Verified,0
10000.0,36 months,12.42,RENT,60000.0,Source Verified,0
2600.0,36 months,6.03,MORTGAGE,50000.0,Source Verified,0
5500.0,60 months,13.23,MORTGAGE,24000.0,Not Verified,1
4500.0,36 months,6.76,MORTGAGE,32000.0,Not Verified,0
7500.0,36 months,5.42,MORTGAGE,45600.0,Not Verified,0
4725.0,36 months,6.54,RENT,27600.0,Not Verified,0
28000.0,36 months,15.62,MORTGAGE,110000.0,Verified,0
11850.0,36 months,6.54,MORTGAGE,35000.0,Source Verified,0
25000.0,60 months,12.61,MORTGAGE,175000.0,Verified,0
8150.0,36 months,12.87,RENT,56000.0,Not Verified,0
35000.0,60 months,21.36,RENT,120000.0,Source Verified,1
20000.0,36 months,13.48,MORTGAGE,100000.0,Verified,0
30000.0,36 months,6.62,MORTGAGE,61500.0,Verified,1
8000.0,36 months,6.54,RENT,100000.0,Verified,0
12350.0,60 months,14.27,RENT,59000.0,Not Verified,1
9000.0,36 months,7.51,RENT,20000.0,Not Verified,0
9500.0,36 months,15.33,RENT,27000.0,Not Verified,0
7750.0,60 months,17.56,MORTGAGE,70000.0,Not Verified,0
25000.0,36 months,7.51,MORTGAGE,56900.0,Verified,0
6500.0,36 months,13.99,RENT,51012.0,Not Verified,0
4000.0,36 months,6.99,MORTGAGE,63000.0,Not Verified,0
4800.0,36 months,10.36,RENT,40000.0,Verified,0
15000.0,36 months,9.91,RENT,50000.0,Not Verified,0
8400.0,36 months,7.51,MORTGAGE,84000.0,Verified,0
12000.0,60 months,13.99,MORTGAGE,91000.0,Source Verified,0
19750.0,60 months,13.23,MORTGAGE,78000.0,Verified,0
15000.0,36 months,14.59,RENT,85000.0,Not Verified,0
10000.0,36 months,15.33,MORTGAGE,65000.0,Not Verified,0
15000.0,36 months,10.99,MORTGAGE,63000.0,Not Verified,0
3000.0,36 months,9.32,RENT,54000.0,Not Verified,1
4750.0,36 months,14.61,RENT,14000.0,Verified,0
8000.0,36 months,6.62,MORTGAGE,70000.0,Not Verified,0
1000.0,36 months,14.74,RENT,62000.0,Not Verified,1
1800.0,36 months,5.42,OWN,27996.0,Not Verified,0
10500.0,36 months,9.99,MORTGAGE,63400.0,Source Verified,0
7000.0,60 months,15.21,MORTGAGE,27000.0,Verified,0
12000.0,60 months,16.69,MORTGAGE,60000.0,Not Verified,0
1400.0,36 months,5.42,MORTGAGE,54000.0,Source Verified,0
9600.0,36 months,7.51,MORTGAGE,48000.0,Source Verified,0
20000.0,60 months,11.99,MORTGAGE,175000.0,Source Verified,0
12000.0,36 months,13.11,RENT,33504.0,Not Verified,0
10000.0,36 months,9.91,MORTGAGE,30000.0,Source Verified,0
7000.0,36 months,11.26,MORTGAGE,59147.0,Source Verified,0
6000.0,36 months,9.63,RENT,31200.0,Verified,0
3600.0,36 months,6.62,MORTGAGE,88824.0,Not Verified,0
5000.0,36 months,6.62,RENT,50793.6,Verified,0
15000.0,36 months,13.11,MORTGAGE,67619.72,Not Verified,0
6000.0,36 months,6.17,RENT,70000.0,Verified,0
16000.0,60 months,11.71,RENT,48000.0,Source Verified,0
7000.0,36 months,6.17,RENT,50400.0,Not Verified,0
6500.0,36 months,12.53,RENT,24000.0,Not Verified,0
4000.0,36 months,14.22,RENT,12000.0,Not Verified,0
2400.0,36 months,8.9,RENT,82500.0,Source Verified,0
4000.0,36 months,9.99,RENT,40000.0,Not Verified,0
6000.0,36 months,17.66,RENT,75000.0,Not Verified,0
18000.0,60 months,16.49,MORTGAGE,65000.0,Source Verified,1
